ship_id,trx_id,space,speed,skill,defence,attack,morale,price
21608,1,12,12,14,9,13,7,1.0
18014,86,7,13,12,11,15,6,0.2
3696,111,8,12,11,6,11,6,0.2
19642,118,12,10,7,9,6,13,0.19
3705,125,12,15,14,14,14,14,2.0
19712,126,6,6,6,8,12,12,0.19
3715,134,6,14,10,6,11,9,0.3
8072,138,9,10,8,8,10,13,0.19
12080,150,10,12,8,8,14,10,0.237
7988,153,6,13,9,15,5,5,0.19
162,154,6,8,5,8,6,6,0.33
3962,169,12,8,10,5,8,11,0.176
7759,170,6,15,9,7,14,13,0.19
25264,172,8,8,9,9,7,11,0.23
3052,189,10,15,13,5,12,15,0.27
15241,197,5,12,7,11,13,11,0.26
13389,203,15,15,11,7,11,15,0.27
10977,217,10,12,5,10,6,15,0.16
2731,218,12,6,13,5,7,6,0.11
17494,234,10,15,13,7,14,13,0.21
3020,239,11,15,14,6,7,13,0.2
33061,240,12,14,9,6,6,8,0.27
173,251,11,9,10,13,13,13,0.4
16843,254,10,10,10,12,11,10,0.1
17570,260,7,8,13,8,14,13,0.175
3305,268,6,9,8,15,13,9,0.4
19768,272,10,15,6,14,11,9,0.19
28018,274,7,11,10,13,7,12,0.125
11564,275,15,10,11,6,8,15,0.3
16742,284,8,13,10,14,12,8,0.26
648,287,11,12,15,13,10,10,0.4
9430,300,6,6,8,9,8,6,0.175
14626,315,6,15,9,8,15,13,0.35
11014,316,13,9,11,12,11,13,0.21
14571,323,11,6,14,14,7,6,0.13
17111,326,11,13,5,7,12,14,0.25
15967,330,6,13,10,8,14,15,0.174
3361,332,11,8,13,13,13,10,0.21
16958,336,6,12,6,11,11,15,0.27
25357,338,6,13,13,5,15,7,0.25
31747,363,7,13,13,9,13,11,0.3
31746,367,9,11,12,12,15,12,0.3
22735,369,9,14,13,9,13,8,0.5
13177,371,5,13,5,9,13,8,0.154
13530,387,10,15,8,6,6,5,0.15
17505,389,14,13,15,14,14,12,1.06
19586,393,7,16,10,9,10,15,0.175
3218,400,9,12,7,6,13,13,0.263
12644,410,5,11,14,14,6,9,0.17
9141,411,8,12,14,14,5,15,0.15
6907,414,5,12,11,8,15,13,0.16
15278,420,11,5,13,5,8,11,0.12
2661,423,6,9,6,10,8,8,0.15
10928,427,8,15,7,5,5,12,0.14
17539,433,12,13,6,5,7,12,0.15
2615,434,14,15,9,10,14,8,0.23
19649,450,11,10,11,11,15,13,0.5
10228,462,12,11,14,14,10,10,0.22
14769,470,13,7,10,13,7,7,0.15
3295,471,11,5,11,13,5,5,0.15
2936,481,9,15,11,9,13,7,0.26
28428,482,6,6,8,8,7,14,0.02
5052,485,10,10,9,14,6,8,0.195
14298,486,12,8,13,6,11,15,0.16
12082,488,9,10,11,10,14,5,0.14
33646,489,12,12,15,13,5,14,0.224
5465,491,13,7,6,11,10,14,0.15
9581,497,12,10,6,12,8,8,0.129
15619,502,14,9,11,7,15,8,0.169
17665,506,14,9,14,11,8,15,0.28
13646,513,15,12,13,10,5,5,0.15
9051,514,6,11,7,8,11,8,0.21
8709,518,5,5,5,6,8,5,0.09
26726,521,6,6,7,15,13,9,0.11
16895,529,6,5,10,5,13,13,0.168
22522,533,15,12,15,15,12,8,0.15
3492,536,9,10,6,13,7,7,0.11
2434,538,5,13,13,12,5,5,0.1
2713,539,6,6,15,14,6,15,0.1
9430,545,6,6,8,9,8,6,0.175
14014,547,11,10,8,9,11,14,0.1
15544,552,14,15,14,10,8,5,0.17
17813,567,12,15,11,11,6,6,0.21
34139,584,8,15,11,9,13,8,0.11
18463,594,8,13,9,14,11,9,0.137
12673,595,9,8,7,14,7,9,0.11
12996,597,15,13,12,13,5,15,0.27
10466,599,5,15,8,14,6,8,0.2
14374,602,10,15,12,14,12,8,0.28
15968,604,11,14,15,13,12,10,0.3
46131,610,8,13,11,5,10,8,0.1
3670,616,10,6,12,8,14,13,0.1
3701,618,9,15,6,5,7,13,0.09
14559,621,5,14,14,15,13,14,0.6
29289,626,14,12,6,11,7,11,0.25
20,627,13,12,5,5,7,15,1.0
14661,628,12,13,8,13,15,15,0.21
8383,629,13,6,9,8,15,10,0.19
8489,634,8,14,11,12,7,7,0.19
19330,635,8,7,5,9,5,13,0.125
28613,638,5,15,10,12,8,7,0.2
12400,641,15,8,6,9,13,11,0.1
33473,646,12,12,8,7,5,14,0.11
2922,649,5,14,11,9,12,5,0.1
11550,650,9,11,5,14,6,11,0.1
39555,651,5,14,11,11,7,8,0.09
37690,654,5,5,8,5,8,5,0.09
43937,655,6,15,11,15,5,8,0.24
16618,666,12,15,14,13,7,15,0.4
11183,671,8,11,12,6,15,8,0.15
18048,690,12,9,9,6,11,5,0.14
6910,698,5,14,8,14,12,9,0.3
21523,712,5,9,15,7,5,6,0.12
12588,718,11,5,10,13,13,13,0.16
2713,725,6,6,15,14,6,15,0.129
669,726,12,15,9,7,13,8,0.25
3292,732,15,15,15,8,15,13,1.0
24870,738,11,15,11,15,13,15,0.69
25452,740,9,14,13,12,13,6,0.32
20417,747,11,7,11,9,13,11,0.1
6869,751,11,15,6,11,6,11,0.22
13523,757,6,11,11,12,8,11,0.12
15288,758,5,15,12,11,13,11,0.3
14891,759,11,10,15,11,9,13,0.2
3061,766,8,5,11,12,5,13,0.09
16094,770,9,6,15,14,6,14,0.14
13309,772,15,12,8,12,5,5,0.126
3061,773,8,5,11,12,5,13,0.12
8018,775,9,9,13,10,7,12,0.1
9961,778,5,13,8,5,6,15,0.142
26038,781,13,10,11,9,11,10,0.04
28018,782,7,11,10,13,7,12,0.19
25067,787,15,14,11,13,11,8,0.19
26802,788,7,12,9,11,13,10,0.11
28394,794,15,10,16,15,16,11,0.75
26802,808,7,12,9,11,13,10,0.23
23819,809,8,15,14,5,12,15,0.25
15974,813,13,5,6,13,7,8,0.16
13469,823,11,5,6,9,8,11,0.11
18290,824,11,12,15,9,8,6,0.119
13523,845,6,11,11,12,8,11,0.189
8539,852,13,5,6,14,7,14,0.12
7214,855,13,15,6,11,14,5,0.18
131,856,8,8,6,9,12,14,0.18
7224,859,12,8,8,10,8,8,0.085
22187,865,9,14,13,7,6,9,0.1
3310,868,5,15,11,12,10,15,0.22
9005,880,7,16,16,15,15,16,0.53
7665,881,6,15,7,14,13,9,0.25
26802,889,7,12,9,11,13,10,0.23
12286,894,12,14,10,14,6,11,0.27
27586,903,11,15,13,6,10,8,0.2
26584,907,12,6,8,10,15,9,0.25
33454,908,15,8,10,6,8,11,0.14
33454,914,15,8,10,6,8,11,0.16
27115,917,13,11,6,11,6,8,0.25
2769,920,9,9,7,13,6,10,0.2
3329,923,5,13,6,15,5,9,0.15
8403,925,13,6,15,8,14,11,0.2
24042,926,6,11,10,8,14,9,0.25
17347,935,13,7,9,9,12,10,0.16
3090,938,6,11,6,11,12,8,0.18
3329,947,5,13,6,15,5,9,0.16
15329,959,7,7,10,7,9,13,0.12
5296,960,5,6,7,5,11,14,0.11
2727,961,7,14,7,14,6,8,0.11
5489,969,15,13,11,9,14,15,0.4
7970,971,10,5,15,12,11,7,0.16
2727,974,7,14,7,14,6,8,0.165
5587,977,9,14,12,11,13,8,0.21
407,978,14,13,14,8,15,14,0.4
5672,979,13,13,14,12,15,10,0.45
410,984,16,10,8,14,6,11,0.4
5754,983,14,9,8,15,10,8,0.19
5825,988,5,13,14,8,8,7,0.11
6662,994,8,13,8,9,14,12,0.19
7833,998,11,11,10,15,5,13,0.21
379,999,7,7,15,6,7,12,0.25
6678,1000,10,8,5,5,15,14,0.15
22578,1001,12,13,11,6,6,10,0.234
18383,1002,15,13,5,9,6,6,0.125
6682,1005,12,9,6,11,8,9,0.16
3376,1007,10,9,10,14,12,11,0.19
18387,1008,11,14,6,14,11,10,0.21
5825,1011,5,13,14,8,8,7,0.19
3049,1014,12,15,13,14,13,11,0.55
33885,1018,6,9,11,11,9,7,0.12
6719,1021,12,5,6,8,8,15,0.13
28870,1023,9,10,12,7,10,8,0.13
9541,1026,13,7,9,13,8,15,0.2
12344,1028,6,6,6,15,10,10,0.11
11577,1034,9,11,14,14,10,15,0.3
17358,1040,15,12,9,14,11,8,0.2
12043,1045,15,13,7,9,11,11,0.2
12673,1050,9,8,7,14,7,9,0.109
871,1055,10,15,13,11,8,14,0.3
3162,1058,5,5,11,8,7,9,0.122
9271,1065,5,13,13,12,6,7,0.16
29150,1074,13,13,15,15,15,15,0.7
3112,1081,14,5,14,6,10,10,0.15
24648,1093,10,11,8,9,11,9,0.14
3329,1098,5,13,6,15,5,9,0.16
12097,1103,12,8,13,8,7,8,0.15
12673,1115,9,8,7,14,7,9,0.12
7224,1120,12,8,8,10,8,8,0.125
8411,1124,9,14,14,15,12,15,0.65
14612,1125,11,10,8,8,8,10,0.21
7224,1127,12,8,8,10,8,8,0.19
28395,1129,7,5,9,8,14,7,0.15
24641,1135,11,10,15,15,8,9,0.19
34007,1138,16,10,16,12,9,16,0.8
28715,1141,11,10,6,13,6,8,0.12
3329,1163,5,13,6,15,5,9,0.16
10860,1169,12,8,6,13,7,13,0.15
9453,1170,12,5,10,11,8,9,0.12
17642,1171,6,6,15,10,7,16,0.14
3878,1177,15,8,12,10,10,9,0.23
8964,1180,6,6,11,14,8,10,0.13
29164,1184,15,11,11,5,13,9,0.19
25483,1183,7,6,11,13,14,9,0.4
4844,1185,10,15,5,8,15,11,0.23
29164,1191,15,11,11,5,13,9,0.23
22592,1196,9,15,6,10,8,9,0.14
21561,1197,12,10,6,11,5,8,0.2
8381,1201,8,15,7,9,5,12,0.15
7665,1202,6,15,7,14,13,9,0.399
18426,1207,7,12,14,12,11,13,0.198
37113,1211,11,5,6,8,6,8,0.12
14820,1213,7,8,15,13,10,9,0.14
14820,1217,7,8,15,13,10,9,0.184
17058,1223,12,13,15,5,7,7,0.14
3027,1224,12,14,9,11,7,11,0.15
13622,1236,11,15,13,6,15,14,0.2
27717,1242,10,10,10,13,13,13,0.5
12673,1245,9,8,7,14,7,9,0.149
15221,1246,10,11,6,11,11,7,0.15
24641,1255,11,10,15,15,8,9,0.22
3329,1262,5,13,6,15,5,9,0.13
28395,1277,7,5,9,8,14,7,0.12
14340,1280,14,13,6,5,12,9,0.12
15143,1282,16,13,9,10,15,8,0.5
28395,1286,7,5,9,8,14,7,0.19
759,1289,14,14,14,8,15,14,0.5
2981,1290,12,6,7,10,7,16,0.22
783,1298,12,11,9,14,8,7,0.3
42056,1303,8,15,10,13,15,8,0.35
28715,1313,11,10,6,13,6,8,0.15
11363,1316,13,10,5,5,12,12,0.15
15806,1317,12,11,11,9,7,14,0.21
43986,1324,7,12,8,14,8,14,0.25
925,1327,6,13,13,14,15,7,0.125
8715,1338,6,6,14,15,6,14,0.225
46360,1339,8,15,11,8,6,13,0.12
22187,1341,9,14,13,7,6,9,0.184
46360,1348,8,15,11,8,6,13,0.21
